model,accuracy,precision,recall,f1_binary,f1_macro,roc_auc,pr_auc,threshold
KNN,0.7818,0.7921,0.9282,0.8548,0.7081,0.8131,0.8874,0.5
Naive Bayes,0.7222,0.7173,0.9877,0.8311,0.5249,0.8213,0.9038,0.5
Linear SVC,0.7848,0.7976,0.9232,0.8558,0.7158,0.828,0.9086,0.5
Logistic Regression,0.7845,0.8238,0.8758,0.849,0.7363,0.8285,0.9086,0.5
Decision Tree,0.7955,0.8684,0.8302,0.8489,0.7663,0.8454,0.9005,0.5
Random Forest,0.8262,0.8354,0.9326,0.8813,0.7785,0.8861,0.9405,0.5
Gradient Boosting,0.8333,0.8565,0.9119,0.8833,0.7958,0.8908,0.9435,0.5
XGBoost,0.8383,0.86,0.9153,0.8868,0.802,0.8954,0.9453,0.5
Voting Ensemble,0.8278,0.8468,0.917,0.8805,0.7862,0.8845,0.9407,0.5
Stacking Ensemble,0.7937,0.8103,0.9164,0.8601,0.7339,0.8325,0.9024,0.5
